location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Belize,BLZ,2021-02-28,0,0,NA,NA,NA,0,0,NA,NA
Belize,BLZ,2021-03-01,NA,NA,NA,NA,208,NA,NA,NA,523
Belize,BLZ,2021-03-02,417,417,NA,NA,208,0.1,0.1,NA,523
Belize,BLZ,2021-03-03,673,673,NA,256,224,0.17,0.17,NA,563
Belize,BLZ,2021-03-04,817,817,NA,144,204,0.21,0.21,NA,513
Belize,BLZ,2021-03-05,996,996,NA,179,199,0.25,0.25,NA,500
Belize,BLZ,2021-03-06,NA,NA,NA,NA,186,NA,NA,NA,468
Belize,BLZ,2021-03-07,NA,NA,NA,NA,176,NA,NA,NA,443
Belize,BLZ,2021-03-08,NA,NA,NA,NA,163,NA,NA,NA,410
Belize,BLZ,2021-03-09,1466,1466,NA,NA,150,0.37,0.37,NA,377
Belize,BLZ,2021-03-10,2489,2489,NA,1023,259,0.63,0.63,NA,651
Belize,BLZ,2021-03-11,4933,4933,NA,2444,588,1.24,1.24,NA,1479
Belize,BLZ,2021-03-12,7444,7444,NA,2511,921,1.87,1.87,NA,2316
Belize,BLZ,2021-03-13,NA,NA,NA,NA,1006,NA,NA,NA,2530
Belize,BLZ,2021-03-14,NA,NA,NA,NA,1091,NA,NA,NA,2744
Belize,BLZ,2021-03-15,9585,9585,NA,NA,1177,2.41,2.41,NA,2960
Belize,BLZ,2021-03-16,10972,10972,NA,1387,1358,2.76,2.76,NA,3415
Belize,BLZ,2021-03-17,11943,11943,NA,971,1351,3,3,NA,3398
Belize,BLZ,2021-03-18,13150,13150,NA,1207,1174,3.31,3.31,NA,2953
Belize,BLZ,2021-03-19,15006,15006,NA,1856,1080,3.77,3.77,NA,2716
Belize,BLZ,2021-03-20,NA,NA,NA,NA,1035,NA,NA,NA,2603
Belize,BLZ,2021-03-21,NA,NA,NA,NA,990,NA,NA,NA,2490
Belize,BLZ,2021-03-22,16202,16202,NA,NA,945,4.07,4.07,NA,2377
Belize,BLZ,2021-03-23,17282,17282,NA,1080,901,4.35,4.35,NA,2266
Belize,BLZ,2021-03-24,18182,18182,NA,900,891,4.57,4.57,NA,2241
Belize,BLZ,2021-03-25,NA,NA,NA,NA,878,NA,NA,NA,2208
Belize,BLZ,2021-03-26,20411,20411,NA,NA,772,5.13,5.13,NA,1942
Belize,BLZ,2021-03-27,NA,NA,NA,NA,763,NA,NA,NA,1919
Belize,BLZ,2021-03-28,NA,NA,NA,NA,753,NA,NA,NA,1894
Belize,BLZ,2021-03-29,NA,NA,NA,NA,743,NA,NA,NA,1869
Belize,BLZ,2021-03-30,NA,NA,NA,NA,636,NA,NA,NA,1600
Belize,BLZ,2021-03-31,22067,22067,NA,NA,555,5.55,5.55,NA,1396
Belize,BLZ,2021-04-01,NA,NA,NA,NA,434,NA,NA,NA,1091
Belize,BLZ,2021-04-02,NA,NA,NA,NA,314,NA,NA,NA,790
Belize,BLZ,2021-04-03,NA,NA,NA,NA,305,NA,NA,NA,767
Belize,BLZ,2021-04-04,NA,NA,NA,NA,296,NA,NA,NA,744
Belize,BLZ,2021-04-05,NA,NA,NA,NA,288,NA,NA,NA,724
Belize,BLZ,2021-04-06,NA,NA,NA,NA,279,NA,NA,NA,702
Belize,BLZ,2021-04-07,23958,23958,NA,NA,270,6.03,6.03,NA,679
Belize,BLZ,2021-04-08,NA,NA,NA,NA,474,NA,NA,NA,1192
Belize,BLZ,2021-04-09,27353,27353,NA,NA,678,6.88,6.88,NA,1705
Belize,BLZ,2021-04-10,NA,NA,NA,NA,679,NA,NA,NA,1708
Belize,BLZ,2021-04-11,NA,NA,NA,NA,680,NA,NA,NA,1710
Belize,BLZ,2021-04-12,28188,28188,NA,NA,681,7.09,7.09,NA,1713
Belize,BLZ,2021-04-13,29939,29939,NA,1751,893,7.53,7.53,NA,2246
Belize,BLZ,2021-04-14,NA,NA,NA,NA,1086,NA,NA,NA,2731
Belize,BLZ,2021-04-15,33180,33180,NA,NA,1075,8.34,8.34,NA,2704
Belize,BLZ,2021-04-16,34262,34262,NA,1082,987,8.62,8.62,NA,2482
Belize,BLZ,2021-04-17,NA,NA,NA,NA,1009,NA,NA,NA,2538
Belize,BLZ,2021-04-18,NA,NA,NA,NA,1031,NA,NA,NA,2593
Belize,BLZ,2021-04-19,NA,NA,NA,NA,1053,NA,NA,NA,2648
Belize,BLZ,2021-04-20,35990,35990,NA,NA,864,9.05,9.05,NA,2173
Belize,BLZ,2021-04-21,37097,37097,NA,1107,791,9.33,9.33,NA,1989
