date,acumulado,casos
2020-03-17,3,3
2020-03-18,20,17
2020-03-19,36,16
2020-03-20,46,10
2020-03-21,47,1
2020-03-22,56,9
2020-03-23,70,14
2020-03-24,78,8
2020-03-25,80,2
2020-03-26,86,6
2020-03-27,90,4
2020-03-28,101,11
2020-03-29,105,4
2020-03-30,123,18
2020-03-31,132,9
2020-04-01,154,22
2020-04-02,161,7
2020-04-03,188,27
2020-04-04,191,3
2020-04-05,204,13
2020-04-06,212,8
2020-04-07,216,4
2020-04-08,223,7
2020-04-09,231,8
2020-04-10,237,6
2020-04-11,240,3
2020-04-12,258,18
2020-04-13,267,9
2020-04-14,269,2
2020-04-15,277,8
2020-04-16,279,2
2020-04-17,311,32
2020-04-18,317,6
2020-04-19,327,10
2020-04-20,339,12
2020-04-21,347,8
2020-04-22,360,13
2020-04-23,370,10
2020-04-24,395,25
2020-04-25,402,7
2020-04-26,423,21
2020-04-27,452,29
2020-04-28,480,28
2020-04-29,492,12
2020-04-30,506,14
2020-05-01,552,46
2020-05-02,670,118
2020-05-03,767,97
2020-05-04,825,58
2020-05-05,860,35
2020-05-06,937,77
2020-05-07,1013,76
2020-05-08,1121,108
2020-05-09,1163,42
2020-05-10,1257,94
2020-05-11,1333,76
2020-05-12,1425,92
2020-05-13,1553,128
2020-05-14,1661,108
2020-05-15,1773,112
2020-05-16,1918,145
2020-05-17,2086,168
2020-05-18,2188,102
2020-05-19,2315,127
2020-05-20,2440,125
2020-05-21,2629,189
2020-05-22,2720,91
2020-05-23,2800,80
2020-05-24,2965,165
2020-05-25,3110,145
2020-05-26,3335,225
2020-05-27,3489,154
2020-05-28,3597,108
2020-05-29,3770,173
2020-05-30,3919,149
2020-05-31,4115,196
2020-06-01,4255,140
2020-06-02,4392,137
2020-06-03,4614,222
2020-06-04,4773,159
2020-06-05,4851,78
2020-06-06,4969,118
2020-06-07,5131,162
2020-06-08,5225,94
2020-06-09,5324,99
2020-06-10,5446,122
2020-06-11,5609,163
2020-06-12,5701,92
2020-06-13,5847,146
2020-06-14,5998,151
2020-06-15,6225,227
2020-06-16,6365,140
2020-06-17,6493,128
2020-06-18,6684,191
2020-06-19,6773,89
2020-06-20,6880,107
2020-06-21,6993,113
2020-06-22,7102,109
2020-06-23,7171,69
2020-06-24,7238,67
2020-06-25,7363,125
2020-06-26,7422,59
2020-06-27,7509,87
2020-06-28,7601,92
2020-06-29,7695,94
2020-06-30,7793,98
2020-07-01,7913,120
2020-07-02,7964,51
2020-07-03,7998,34
2020-07-04,8050,52
2020-07-05,8157,107
2020-07-06,8270,113
2020-07-07,8355,85
2020-07-08,8412,57
2020-07-09,8493,81
2020-07-10,8524,31
2020-07-11,8565,41
2020-07-12,8614,49
2020-07-13,8647,33
2020-07-14,8714,67
2020-07-15,8760,46
2020-07-16,8811,51
2020-07-17,8830,19
2020-07-18,8860,30
2020-07-19,8880,20
2020-07-20,8934,54
2020-07-21,8970,36
2020-07-22,8978,8
2020-07-23,9083,105
2020-07-24,9111,28
2020-07-25,9134,23
2020-07-26,9143,9
2020-07-27,9163,20
2020-07-28,9203,40
2020-07-29,9259,56
2020-07-30,9284,25
2020-07-31,9314,30
2020-08-01,9353,39
2020-08-02,9405,52
2020-08-03,9441,36
2020-08-04,9482,41
2020-08-05,9498,16
2020-08-06,9537,39
2020-08-07,9548,11
2020-08-08,9561,13
2020-08-09,9578,17
2020-08-10,9625,47
2020-08-11,9672,NA
2020-08-12,9725,53
2020-08-13,9777,52
2020-08-14,9785,8
2020-08-15,9799,14
2020-08-16,9806,7
2020-08-17,9833,27
2020-08-18,9860,NA
2020-08-19,9889,29
2020-08-20,9930,41
2020-08-21,9979,49
2020-08-22,10010,31
2020-08-23,10020,10
2020-08-24,10041,21
2020-08-25,10059,18
2020-08-26,10110,51
2020-08-27,10121,11
2020-08-28,10124,3
2020-08-29,10134,10
2020-08-30,10166,32
2020-08-31,10178,12
2020-09-01,10204,26
2020-09-02,10214,10
2020-09-03,10231,17
2020-09-04,10235,4
2020-09-05,10246,11
2020-09-06,10254,8
2020-09-07,10268,14
2020-09-08,10279,11
2020-09-09,10293,14
2020-09-10,10294,1
2020-09-11,10313,19
2020-09-12,10326,13
2020-09-14,10340,14
2020-09-15,10366,26
2020-09-16,10403,37
2020-09-17,10407,4
2020-09-18,10410,3
2020-09-19,10417,7
2020-09-20,10419,2
2020-09-21,10426,7
2020-09-22,10447,21
2020-09-23,10455,8
2020-09-24,10469,14
2020-09-25,10470,1
2020-09-26,10489,19
2020-09-27,10493,4
2020-09-28,10547,54
2020-09-29,10558,11
2020-09-30,10565,7
2020-10-01,10582,17
2020-10-02,10615,33
2020-10-03,10639,24
2020-10-06,10690,51
2020-10-07,10784,94
2020-10-09,10791,7
2020-10-10,10827,36
2020-10-11,10832,5
2020-10-13,10843,11
2020-10-14,10846,3
2020-10-15,10850,4
2020-10-18,10852,2
2020-10-19,10867,15
2020-10-20,10920,53
2020-10-22,10922,2
2020-10-26,10925,3
2020-10-27,10972,47
2020-10-28,10998,26
2020-10-29,11000,2
2020-10-30,11002,NA
2020-11-01,11009,7
2020-11-02,11013,4
2020-11-03,11023,10
2020-11-04,11052,29
2020-11-05,11060,8
2020-11-07,11067,7
2020-11-08,11087,20
2020-11-09,11104,17
2020-11-10,11140,36
2020-11-11,11150,10
2020-11-12,11160,NA
2020-11-14,11181,21
2020-11-15,11206,25
2020-11-16,11226,20
2020-11-17,11265,39
2020-11-18,11271,6
2020-11-20,11272,1
2020-11-21,11275,3
2020-11-22,11283,8
2020-11-23,11291,NA
2020-11-24,11375,84
2020-11-25,11376,1
2020-11-26,11382,6
2020-11-27,11392,10
2020-11-28,11396,4
2020-11-29,11413,17
2020-11-30,11433,20
2020-12-01,11458,25
2020-12-02,11498,40
2020-12-03,11558,60
2020-12-04,11560,2
2020-12-06,11562,NA
2020-12-07,11570,8
2020-12-08,11583,13
2020-12-09,11592,9
2020-12-10,11633,41
2020-12-11,11643,10
2020-12-12,11644,1
2020-12-13,11646,2
2020-12-14,11684,38
2020-12-15,11823,139
2020-12-16,11832,9
2020-12-17,11917,85
2020-12-18,11936,19
2020-12-19,11937,1
2020-12-20,11962,25
2020-12-21,11984,22
2020-12-22,11988,4
2020-12-23,11996,8
2020-12-24,12004,NA
2020-12-25,12006,2
2020-12-26,12012,6
2020-12-27,12016,4
2020-12-28,12018,2
2020-12-29,12050,32
