date,acumulado,casos
2020-03-18,4,3
2020-03-19,21,17
2020-03-20,38,16
2020-03-21,48,10
2020-03-22,49,1
2020-03-23,58,9
2020-03-24,72,14
2020-03-25,80,8
2020-03-26,82,2
2020-03-27,90,6
2020-03-28,94,4
2020-03-29,105,11
2020-03-30,109,4
2020-03-31,128,18
2020-04-01,137,9
2020-04-02,159,22
2020-04-03,166,7
2020-04-04,193,27
2020-04-05,197,3
2020-04-06,210,13
2020-04-07,218,8
2020-04-08,222,4
2020-04-09,230,7
2020-04-10,239,8
2020-04-11,246,6
2020-04-12,249,3
2020-04-13,267,18
2020-04-14,276,9
2020-04-15,278,2
2020-04-16,286,8
2020-04-17,288,2
2020-04-18,321,32
2020-04-19,327,6
2020-04-20,337,10
2020-04-21,349,12
2020-04-22,357,8
2020-04-23,371,13
2020-04-24,381,10
2020-04-25,407,25
2020-04-26,415,7
2020-04-27,436,21
2020-04-28,465,29
2020-04-29,494,28
2020-04-30,506,12
2020-05-01,520,14
2020-05-02,566,46
2020-05-03,685,118
2020-05-04,782,97
2020-05-05,841,58
2020-05-06,876,35
2020-05-07,953,77
2020-05-08,1029,76
2020-05-09,1137,108
2020-05-10,1179,42
2020-05-11,1273,94
2020-05-12,1358,76
2020-05-13,1450,92
2020-05-14,1578,128
2020-05-15,1686,108
2020-05-16,1798,112
2020-05-17,1943,145
2020-05-18,2111,168
2020-05-19,2467,102
2020-05-20,2594,127
2020-05-21,2719,125
2020-05-22,2908,189
2020-05-23,2999,91
2020-05-24,3079,80
2020-05-25,3244,165
2020-05-26,3869,145
2020-05-27,4094,225
2020-05-28,4248,154
2020-05-29,4356,108
2020-05-30,4529,173
2020-05-31,4678,149
2020-06-01,4874,196
2020-06-02,5373,140
2020-06-03,5510,137
2020-06-04,5732,222
2020-06-05,5891,159
2020-06-06,5969,78
2020-06-07,6087,118
2020-06-08,6249,162
2020-06-09,6689,94
2020-06-10,6788,99
2020-06-11,6910,122
2020-06-12,7074,164
2020-06-13,7166,92
2020-06-14,7312,146
2020-06-15,7463,151
2020-06-16,8049,227
2020-06-17,8189,140
2020-06-18,8317,128
2020-06-19,8508,191
2020-06-20,8597,89
2020-06-21,8704,107
2020-06-22,8817,113
2020-06-23,9273,109
2020-06-24,9342,69
2020-06-25,9409,67
2020-06-26,9534,125
2020-06-27,9593,59
2020-06-28,9680,87
2020-06-29,9772,92
2020-06-30,10215,94
2020-07-01,10313,98
2020-07-02,10433,120
2020-07-03,10484,51
2020-07-04,10518,34
2020-07-05,10570,52
2020-07-06,10677,107
2020-07-07,11117,113
2020-07-08,11202,85
2020-07-09,11259,57
2020-07-10,11340,81
2020-07-11,11371,31
2020-07-12,11412,41
2020-07-13,11461,49
2020-07-14,11795,33
2020-07-15,11862,67
2020-07-16,11908,46
2020-07-17,11959,51
2020-07-18,11978,19
2020-07-19,12008,30
2020-07-20,12028,20
2020-07-21,12374,54
2020-07-22,12410,36
2020-07-23,12418,8
2020-07-24,12523,105
2020-07-25,12551,28
2020-07-26,12574,23
2020-07-27,12583,9
2020-07-28,12836,20
2020-07-29,12876,40
2020-07-30,12932,56
2020-07-31,12957,25
2020-08-01,12987,30
2020-08-02,13026,39
2020-08-03,13078,52
2020-08-04,13344,36
2020-08-05,13385,41
2020-08-06,13401,16
2020-08-07,13440,39
2020-08-08,13451,11
2020-08-09,13464,13
2020-08-10,13481,17
2020-08-11,13741,47
2020-08-12,13788,NA
2020-08-13,13841,53
2020-08-14,13893,52
2020-08-15,13901,8
2020-08-16,13915,14
2020-08-17,13922,7
2020-08-18,14145,27
2020-08-19,14172,NA
2020-08-20,14201,29
2020-08-21,14242,41
2020-08-22,14291,49
2020-08-23,14322,31
2020-08-24,14332,10
2020-08-25,14536,21
2020-08-26,14554,18
2020-08-27,14605,51
2020-08-28,14616,11
2020-08-29,14619,3
2020-08-30,14629,10
2020-08-31,14661,32
2020-09-01,14847,12
2020-09-02,14873,26
2020-09-03,14883,10
2020-09-04,14900,17
2020-09-05,14904,4
2020-09-06,14915,11
2020-09-07,14923,8
2020-09-08,15087,14
2020-09-09,15098,11
2020-09-10,15112,14
2020-09-11,15113,1
2020-09-12,15132,19
2020-09-13,15145,13
2020-09-14,NA,NA
2020-09-15,15159,14
2020-09-16,15328,26
2020-09-17,15365,37
2020-09-18,15369,4
2020-09-19,15372,3
2020-09-20,15379,7
2020-09-21,15381,2
2020-09-22,15500,7
2020-09-23,15521,21
2020-09-24,15529,8
2020-09-25,15543,14
2020-09-26,15544,1
2020-09-27,15563,19
2020-09-28,15567,4
2020-09-29,15718,54
2020-09-30,15729,11
2020-10-01,15736,7
2020-10-02,15753,17
2020-10-03,15786,33
2020-10-04,15810,24
2020-10-05,NA,NA
2020-10-06,15904,NA
2020-10-07,15955,51
2020-10-08,16049,94
2020-10-09,NA,NA
2020-10-10,16056,7
2020-10-11,16092,36
2020-10-12,16097,5
2020-10-13,16186,NA
2020-10-14,16197,11
2020-10-15,16200,3
2020-10-16,16204,4
2020-10-17,NA,NA
2020-10-18,NA,NA
2020-10-19,16206,2
2020-10-20,16302,15
2020-10-21,16355,53
2020-10-22,NA,NA
2020-10-23,16357,2
2020-10-24,NA,NA
2020-10-25,NA,NA
2020-10-26,NA,NA
2020-10-27,16360,3
2020-10-28,16487,47
2020-10-29,16513,26
2020-10-30,16515,2
2020-10-31,16517,NA
2020-11-01,NA,NA
2020-11-02,16524,7
2020-11-03,16605,4
2020-11-04,16615,10
2020-11-05,16644,29
2020-11-06,16652,8
2020-11-07,NA,NA
2020-11-08,16659,7
2020-11-09,16679,20
2020-11-10,16766,17
2020-11-11,16802,36
2020-11-12,16812,10
2020-11-13,16822,NA
2020-11-14,NA,NA
2020-11-15,16843,21
2020-11-16,16868,25
2020-11-17,16952,20
2020-11-18,16991,39
2020-11-19,16997,6
2020-11-20,NA,NA
2020-11-21,16998,1
2020-11-22,17001,3
2020-11-23,17009,8
2020-11-24,17076,NA
2020-11-25,17160,84
2020-11-26,17161,1
2020-11-27,17167,6
2020-11-28,17177,10
2020-11-29,17181,4
2020-11-30,17198,17
2020-12-01,17272,20
2020-12-02,17297,25
2020-12-03,17337,40
2020-12-04,17397,60
2020-12-05,17399,2
2020-12-06,NA,NA
2020-12-07,17401,2
2020-12-08,17409,8
2020-12-09,17471,13
2020-12-10,17480,9
2020-12-11,17521,41
2020-12-12,17531,10
2020-12-13,17532,1
2020-12-14,17534,2
2020-12-15,17572,38
2020-12-16,17762,139
2020-12-17,17771,9
2020-12-18,17856,85
2020-12-19,17875,19
2020-12-20,17876,1
2020-12-21,17901,25
2020-12-22,18031,22
2020-12-23,18035,4
2020-12-24,18043,8
2020-12-25,18051,NA
2020-12-26,18053,2
2020-12-27,18059,6
2020-12-28,18063,4
2020-12-29,18065,2
2020-12-30,18097,32
2020-12-31,18105,8
2021-01-01,18130,25
2021-01-02,18140,10
2021-01-03,18143,3
2021-01-04,18162,19
2021-01-05,18259,46
2021-01-06,18271,12
2021-01-07,18353,82
2021-01-08,18406,53
2021-01-09,18468,62
2021-01-10,18474,6
2021-01-11,18482,8
2021-01-12,18545,NA
2021-01-13,18617,72
2021-01-14,18626,9
2021-01-15,18671,45
2021-01-16,18673,2
2021-01-17,18683,10
2021-01-18,18695,12
2021-01-19,18751,4
2021-01-20,18760,9
2021-01-21,18839,79
2021-01-22,18883,44
2021-01-23,18895,12
2021-01-24,18900,5
2021-01-25,18905,NA
2021-01-26,18960,6
2021-01-27,18974,14
2021-01-28,18978,4
2021-01-29,18983,5
2021-01-30,NA,NA
2021-01-31,18984,1
2021-02-01,19029,45
2021-02-02,19081,6
2021-02-03,NA,NA
2021-02-04,19089,8
2021-02-05,19160,71
2021-02-06,19164,4
2021-02-07,19175,11
2021-02-08,19177,2
2021-02-09,19231,6
2021-02-10,19245,14
2021-02-11,19288,43
2021-02-12,19294,6
2021-02-13,19296,2
2021-02-14,19297,1
2021-02-15,19302,5
2021-02-16,19357,4
2021-02-17,19364,7
2021-02-18,19438,74
2021-02-19,19445,7
