date,cases,deaths
2020-03-18,3,0
2020-03-19,20,0
2020-03-20,36,0
2020-03-21,46,0
2020-03-22,47,1
2020-03-23,56,1
2020-03-24,70,1
2020-03-25,78,1
2020-03-26,80,1
2020-03-27,86,1
2020-03-28,90,2
2020-03-29,101,5
2020-03-30,105,5
2020-03-31,123,7
2020-04-01,132,7
2020-04-02,154,8
2020-04-03,161,12
2020-04-04,188,12
2020-04-05,191,13
2020-04-06,204,14
2020-04-07,212,15
2020-04-08,216,15
2020-04-09,223,17
2020-04-10,231,17
2020-04-11,237,17
2020-04-12,240,18
2020-04-13,258,20
2020-04-14,267,21
2020-04-15,269,22
2020-04-16,277,23
2020-04-17,279,24
2020-04-18,311,28
2020-04-19,317,28
2020-04-20,327,30
2020-04-21,339,32
2020-04-22,347,34
2020-04-23,360,36
2020-04-24,370,37
2020-04-25,395,43
2020-04-26,402,46
2020-04-27,423,49
2020-04-28,452,53
2020-04-29,480,56
2020-04-30,492,57
2020-05-01,506,60
2020-05-02,552,67
2020-05-03,670,78
2020-05-04,767,82
2020-05-05,825,87
2020-05-06,860,91
2020-05-07,937,113
2020-05-08,1013,145
2020-05-09,1121,190
2020-05-10,1163,205
2020-05-11,1257,233
2020-05-12,1333,251
2020-05-13,1425,274
2020-05-14,1553,290
2020-05-15,1661,314
2020-05-16,1773,354
2020-05-17,1918,381
2020-05-18,2086,408
2020-05-19,2188,449
2020-05-20,2315,477
2020-05-21,2440,523
2020-05-22,2629,580
2020-05-23,2720,616
2020-05-24,2800,646
2020-05-25,2965,704
2020-05-26,3110,740
2020-05-27,3335,828
2020-05-28,3489,872
2020-05-29,3597,905
2020-05-30,3770,950
2020-05-31,3919,989
2020-06-01,4115,1051
2020-06-02,4255,1093
2020-06-03,4392,1137
2020-06-04,4614,1207
2020-06-05,4773,1247
2020-06-06,4851,1277
2020-06-07,4969,1326
2020-06-08,5131,1378
2020-06-09,5225,1397
2020-06-10,5324,1422
2020-06-11,5446,1460
2020-06-12,5610,1508
2020-06-13,5702,1538
2020-06-14,5848,1577
2020-06-15,5999,1613
2020-06-16,6226,1690
2020-06-17,6366,1721
2020-06-18,6494,1755
2020-06-19,6685,1806
2020-06-20,6774,1835
2020-06-21,6881,1866
2020-06-22,6994,1901
2020-06-23,7103,1922
2020-06-24,7172,1947
2020-06-25,7239,1967
2020-06-26,7364,2007
2020-06-27,7423,2033
2020-06-28,7510,2061
2020-06-29,7602,2085
2020-06-30,7696,2109
2020-07-01,7794,2120
