departamento,date,cases
Boaco,2020-03-22,1
Boaco,2020-04-07,1
Boaco,2020-04-26,3
Boaco,2020-05-01,1
Boaco,2020-05-02,2
Boaco,2020-05-10,1
Boaco,2020-05-12,2
Boaco,2020-05-18,2
Boaco,2020-05-20,1
Boaco,2020-05-26,1
Boaco,2020-05-28,2
Boaco,2020-05-29,3
Boaco,2020-06-01,13
Boaco,2020-06-03,3
Boaco,2020-06-04,1
Boaco,2020-06-05,10
Boaco,2020-06-07,4
Boaco,2020-06-10,2
Boaco,2020-06-11,3
Boaco,2020-06-12,4
Boaco,2020-06-13,2
Boaco,2020-06-14,13
Boaco,2020-06-15,16
Boaco,2020-06-18,14
Boaco,2020-06-20,7
Boaco,2020-06-21,3
Boaco,2020-06-22,1
Boaco,2020-06-23,2
Boaco,2020-06-25,1
Boaco,2020-06-26,2
Boaco,2020-06-28,3
Boaco,2020-06-29,19
Boaco,2020-06-30,1
Boaco,2020-07-01,16
Boaco,2020-07-05,2
Boaco,2020-07-10,1
Boaco,2020-07-12,4
Boaco,2020-07-14,16
Boaco,2020-07-15,4
Boaco,2020-07-21,1
Boaco,2020-07-24,3
Boaco,2020-08-20,7
Boaco,2020-12-03,1
Boaco,2020-12-08,1
Boaco,2020-12-20,8
Boaco,2021-01-04,7
Boaco,2021-03-20,1
Boaco,2021-04-04,3
Boaco,2021-05-04,15
Boaco,2021-06-18,1
Boaco,2021-07-06,2
Boaco,2021-07-27,1
Boaco,2021-08-02,2
Boaco,2021-08-20,8
Boaco,2021-08-23,2
Boaco,2021-08-24,1
Boaco,2021-08-26,2
Boaco,2021-08-30,1
Boaco,2021-08-31,1
Boaco,2021-09-04,2
Boaco,2021-09-05,7
Boaco,2021-09-06,1
Carazo,2020-03-21,1
Carazo,2020-04-26,1
Carazo,2020-04-28,5
Carazo,2020-05-04,2
Carazo,2020-05-06,2
Carazo,2020-05-07,3
Carazo,2020-05-09,1
Carazo,2020-05-10,1
Carazo,2020-05-15,4
Carazo,2020-05-19,4
Carazo,2020-05-21,1
Carazo,2020-05-22,4
Carazo,2020-05-23,1
Carazo,2020-05-24,5
Carazo,2020-05-25,31
Carazo,2020-05-26,2
Carazo,2020-05-27,3
Carazo,2020-05-28,2
Carazo,2020-05-29,1
Carazo,2020-05-31,5
Carazo,2020-06-01,1
Carazo,2020-06-02,2
Carazo,2020-06-03,4
Carazo,2020-06-04,3
Carazo,2020-06-05,1
Carazo,2020-06-06,3
Carazo,2020-06-07,3
Carazo,2020-06-10,14
Carazo,2020-06-11,15
Carazo,2020-06-12,24
Carazo,2020-06-14,1
Carazo,2020-06-15,3
Carazo,2020-06-19,1
Carazo,2020-06-20,1
Carazo,2020-06-21,6
Carazo,2020-06-22,2
Carazo,2020-06-23,4
Carazo,2020-06-24,6
Carazo,2020-06-25,9
Carazo,2020-06-26,6
Carazo,2020-06-27,8
Carazo,2020-06-28,5
Carazo,2020-06-29,1
Carazo,2020-06-30,1
Carazo,2020-07-01,3
Carazo,2020-07-02,1
Carazo,2020-07-03,3
Carazo,2020-07-04,2
Carazo,2020-07-05,4
Carazo,2020-07-06,2
Carazo,2020-07-12,2
Carazo,2020-07-14,4
Carazo,2020-07-15,5
Carazo,2020-07-17,2
Carazo,2020-07-19,4
Carazo,2020-07-20,3
Carazo,2020-07-21,2
Carazo,2020-07-23,1
Carazo,2020-07-24,1
Carazo,2020-08-26,3
Carazo,2020-09-15,1
Carazo,2020-09-26,2
Carazo,2020-09-29,2
Carazo,2020-10-11,1
Carazo,2020-11-10,3
Carazo,2020-11-15,1
Carazo,2020-11-18,5
Carazo,2020-11-24,1
Carazo,2020-12-03,6
Carazo,2020-12-15,8
Carazo,2021-01-06,3
Carazo,2021-04-04,1
Carazo,2021-04-05,2
Carazo,2021-04-06,1
Carazo,2021-04-08,1
Carazo,2021-04-28,8
Carazo,2021-05-02,1
Carazo,2021-05-12,5
Carazo,2021-05-18,1
Carazo,2021-05-25,1
Carazo,2021-05-30,3
Carazo,2021-05-31,1
Carazo,2021-06-21,1
Carazo,2021-07-06,5
Carazo,2021-07-07,13
Carazo,2021-07-08,4
Carazo,2021-07-09,9
Carazo,2021-07-12,1
Carazo,2021-07-27,1
Carazo,2021-07-28,9
Carazo,2021-07-30,2
Carazo,2021-08-04,3
Carazo,2021-08-16,1
Carazo,2021-08-19,1
Carazo,2021-09-03,5
Carazo,2021-09-04,4
Carazo,2021-09-05,1
Carazo,2021-09-07,1
Chinandega,2020-03-20,1
Chinandega,2020-03-26,2
