departamento,date,deaths
Boaco,2020-05-11,1
Boaco,2020-05-12,1
Boaco,2020-05-13,1
Boaco,2020-05-14,1
Boaco,2020-05-15,1
Boaco,2020-05-16,1
Boaco,2020-05-17,1
Boaco,2020-05-18,1
Boaco,2020-05-19,2
Boaco,2020-05-20,2
Boaco,2020-05-21,2
Boaco,2020-05-22,2
Boaco,2020-05-23,2
Boaco,2020-05-24,2
Boaco,2020-05-25,2
Boaco,2020-05-26,2
Boaco,2020-05-27,3
Boaco,2020-05-28,4
Boaco,2020-05-29,6
Boaco,2020-05-30,6
Boaco,2020-05-31,6
Boaco,2020-06-01,6
Boaco,2020-06-02,6
Boaco,2020-06-03,6
Boaco,2020-06-04,9
Boaco,2020-06-05,10
Boaco,2020-06-06,18
Boaco,2020-06-07,18
Boaco,2020-06-08,21
Boaco,2020-06-09,21
Boaco,2020-06-10,21
Boaco,2020-06-11,23
Boaco,2020-06-12,24
Boaco,2020-06-13,25
Boaco,2020-06-14,26
Boaco,2020-06-15,27
Boaco,2020-06-16,33
Boaco,2020-06-17,33
Boaco,2020-06-18,33
Boaco,2020-06-19,34
Boaco,2020-06-20,35
Boaco,2020-06-21,36
Boaco,2020-06-22,36
Boaco,2020-06-23,36
Boaco,2020-06-24,36
Boaco,2020-06-25,36
Boaco,2020-06-26,36
Boaco,2020-06-27,37
Boaco,2020-06-28,37
Boaco,2020-06-29,38
Boaco,2020-06-30,40
Boaco,2020-07-01,40
Boaco,2020-07-02,41
Boaco,2020-07-03,41
Boaco,2020-07-04,41
Boaco,2020-07-05,41
Boaco,2020-07-06,43
Boaco,2020-07-07,43
Boaco,2020-07-08,43
Boaco,2020-07-09,43
Boaco,2020-07-10,44
Boaco,2020-07-11,45
Boaco,2020-07-12,45
Boaco,2020-07-13,45
Boaco,2020-07-14,45
Boaco,2020-07-15,47
Boaco,2020-07-16,48
Boaco,2020-07-17,48
Boaco,2020-07-18,48
Boaco,2020-07-19,48
Boaco,2020-07-20,48
Boaco,2020-07-21,48
Boaco,2020-07-22,48
Boaco,2020-07-23,48
Boaco,2020-07-24,48
Boaco,2020-07-25,49
Boaco,2020-07-26,49
Boaco,2020-07-27,49
Boaco,2020-07-28,49
Boaco,2020-07-29,49
Boaco,2020-07-30,49
Boaco,2020-07-31,49
Boaco,2020-08-01,49
Boaco,2020-08-02,49
Boaco,2020-08-03,49
Boaco,2020-08-04,49
Boaco,2020-08-05,49
Boaco,2020-08-06,49
Boaco,2020-08-07,49
Boaco,2020-08-08,49
Boaco,2020-08-09,49
Boaco,2020-08-10,49
Boaco,2020-08-11,49
Boaco,2020-08-12,49
Boaco,2020-08-13,49
Boaco,2020-08-14,49
Boaco,2020-08-15,49
Boaco,2020-08-16,49
Boaco,2020-08-17,49
Boaco,2020-08-18,49
Boaco,2020-08-19,49
Boaco,2020-08-20,49
Boaco,2020-08-21,56
Boaco,2020-08-22,56
Boaco,2020-08-23,56
Boaco,2020-08-24,56
Boaco,2020-08-25,56
Boaco,2020-08-26,56
Boaco,2020-08-27,56
Boaco,2020-08-28,57
Boaco,2020-08-29,57
Boaco,2020-08-30,57
Boaco,2020-08-31,57
Boaco,2020-09-01,57
Boaco,2020-09-02,57
Boaco,2020-09-03,57
Boaco,2020-09-04,57
Boaco,2020-09-05,57
Boaco,2020-09-06,57
Boaco,2020-09-07,57
Boaco,2020-09-08,57
Boaco,2020-09-09,57
Boaco,2020-09-10,57
Boaco,2020-09-11,57
Boaco,2020-09-12,57
Boaco,2020-09-13,57
Boaco,2020-09-14,57
Boaco,2020-09-15,57
Boaco,2020-09-16,57
Boaco,2020-09-17,57
Boaco,2020-09-18,57
Boaco,2020-09-19,57
Boaco,2020-09-20,57
Boaco,2020-09-21,57
Boaco,2020-09-22,57
Boaco,2020-09-23,57
Boaco,2020-09-24,57
Boaco,2020-09-25,57
Boaco,2020-09-26,57
Boaco,2020-09-27,57
Boaco,2020-09-28,57
Boaco,2020-09-29,57
Boaco,2020-09-30,57
Boaco,2020-10-01,57
Boaco,2020-10-02,57
Boaco,2020-10-03,57
Boaco,2020-10-04,57
Boaco,2020-10-05,57
Boaco,2020-10-06,57
Boaco,2020-10-07,57
Boaco,2020-10-08,57
Boaco,2020-10-09,57
Boaco,2020-10-10,57
Boaco,2020-10-11,57
Boaco,2020-10-12,57
Boaco,2020-10-13,57
Boaco,2020-10-14,57
Boaco,2020-10-15,57
Boaco,2020-10-16,57
Boaco,2020-10-17,57
Boaco,2020-10-18,57
Boaco,2020-10-19,57
Boaco,2020-10-20,57
Boaco,2020-10-21,57
Boaco,2020-10-22,57
Boaco,2020-10-23,57
Boaco,2020-10-24,57
Boaco,2020-10-25,57
Boaco,2020-10-26,57
Boaco,2020-10-27,57
Boaco,2020-10-28,57
Boaco,2020-10-29,57
Boaco,2020-10-30,57
Boaco,2020-10-31,57
Boaco,2020-11-01,57
Boaco,2020-11-02,57
Boaco,2020-11-03,57
Boaco,2020-11-04,57
Boaco,2020-11-05,57
Boaco,2020-11-06,57
Boaco,2020-11-07,57
Boaco,2020-11-08,57
Boaco,2020-11-09,57
Boaco,2020-11-10,57
Boaco,2020-11-11,57
Boaco,2020-11-12,57
Boaco,2020-11-13,57
Boaco,2020-11-14,57
Boaco,2020-11-15,57
Boaco,2020-11-16,57
Boaco,2020-11-17,57
Boaco,2020-11-18,57
Boaco,2020-11-19,57
Boaco,2020-11-20,57
Boaco,2020-11-21,57
Boaco,2020-11-22,57
Boaco,2020-11-23,57
Boaco,2020-11-24,57
